Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
98,5,0,0,0,415,2,3
99,5,0,0,0,307,4,3
100,5,0,0,0,428,2,3
101,5,0,0,0,617,3,3
102,5,0,0,0,3093,3,3
103,5,0,0,0,2268,4,3
104,5,0,0,0,1330,4,3
105,5,0,0,0,2216,3,3
106,5,0,0,0,2538,3,3
107,5,0,0,0,3163,4,3
108,5,0,0,0,4661,3,3
109,5,0,0,0,1834,4,3
110,5,0,0,0,2906,1,3
111,5,0,0,0,2539,4,3
112,5,0,0,0,1680,3,3
113,5,0,0,0,1050,3,3
114,5,0,0,0,534,3,3
115,5,0,0,0,545,4,3
116,5,0,0,0,364,4,3
117,5,0,0,0,409,4,3
118,5,0,0,0,818,3,3
119,5,0,0,0,468,2,3
120,5,0,0,0,995,4,3
121,5,0,0,0,594,4,3
122,5,0,0,0,2918,4,3
123,5,0,0,0,3484,4,3
124,5,0,0,0,1274,2,3
125,5,0,0,0,379,4,3
126,5,0,0,0,586,4,3
127,5,0,0,0,3727,2,3
128,5,0,0,0,3039,4,3
129,5,0,0,0,4134,3,3
130,5,0,0,0,3686,1,3
131,5,0,0,0,3676,1,3
132,5,0,0,0,2852,1,3
133,5,0,0,0,2191,2,3
134,5,0,0,0,2067,3,3
135,5,0,0,0,1878,4,3
136,5,0,0,0,1793,3,3
137,5,0,0,0,484,3,3
